block_id,completed_service_trials,disposition,analysis_role,technical_failure_category
B01,0,incomplete_consumed,not_analyzable,acquisition_or_collector_lifecycle
B02,0,incomplete_consumed,not_analyzable,acquisition_or_collector_lifecycle
B03,15,completed,deviation_aware,
B04,0,incomplete_consumed,not_analyzable,acquisition_or_collector_lifecycle
B05,0,incomplete_consumed,not_analyzable,operator_interface_or_input
B06,0,incomplete_consumed,not_analyzable,monitor_or_control_transport
B07,6,incomplete_consumed,not_analyzable,device_health_or_restoration_integrity
B08,15,completed,primary_per_protocol,
B09,12,incomplete_consumed,not_analyzable,monitor_or_control_transport
B10,0,incomplete_consumed,not_analyzable,operator_interface_or_input
B11,15,incomplete_consumed,not_analyzable,device_health_or_restoration_integrity
B12,0,incomplete_consumed,not_analyzable,monitor_or_control_transport
