cycle_index,phase,start_ms,end_ms,planned_duration_seconds
0,still,9042.299824,19045.366625,10
0,move,26614.519181,36624.615447,10
1,still,41158.720780,51167.395656,10
1,move,53169.232127,63179.342580,10
2,still,67209.949568,77220.106839,10
2,move,83359.430635,93369.563849,10
3,still,99158.706591,109168.886314,10
3,move,112488.555417,122492.088904,10
4,still,126331.325562,136332.951629,10
4,move,143525.458045,153534.255723,10
5,still,156255.517409,166265.955694,10
5,move,169443.766989,179454.000879,10
